FlightDate,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay,Distance,Cancelled
2025-07-23,DL,14107,13303,-10,-7,252,0
2025-07-26,DL,14869,10397,38,53,2277,0
2025-07-05,F9,11433,13204,-2,-1,1349,0
2024-08-10,UA,13303,12266,18,9,735,0
2025-11-06,AA,12892,12478,18,11,528,0
2025-01-11,F9,14107,10397,58,59,1479,0
2025-05-02,B6,13303,12266,23,41,989,0
2025-01-23,AA,12478,10397,44,55,1177,0
2025-04-10,NK,12892,12478,114,108,1199,0
2024-01-08,NK,14057,14771,88,93,1675,0
2024-03-14,DL,13930,11193,32,47,1129,0
2025-10-02,DL,15016,12478,1,0,2849,0
2025-04-08,UA,15016,13204,38,54,632,0
2025-10-06,DL,12478,13930,12,17,898,0
2025-08-02,F9,11298,12892,8,8,2842,0
2025-07-29,AA,14057,14869,-5,-2,1318,0
2024-07-21,AS,11193,14771,3,23,761,0
2024-02-29,DL,14057,14869,4,8,1165,0
2024-04-27,NK,11433,10397,65,62,2227,0
2025-05-30,DL,10397,14869,0,1,2678,0
2024-02-11,B6,14869,14057,-10,-13,924,0
2024-04-28,WN,14057,11298,1,5,1168,0
2024-06-06,B6,12266,12478,52,45,715,0
2025-11-03,B6,11433,11298,53,43,2888,0
2025-11-27,F9,12478,13930,75,73,893,0
2025-06-13,AA,14869,11193,40,48,2618,0
2025-10-18,AA,13930,14869,62,72,1272,0
2024-09-23,AS,11193,12892,39,42,633,0
2025-08-14,AS,14107,15016,38,55,1245,0
2024-09-04,UA,12478,13303,52,67,1871,0
2024-02-03,DL,12892,14869,38,53,2796,0
2024-05-30,WN,13204,13930,20,31,1159,0
2024-06-03,F9,13303,14057,96,99,2490,0
2025-07-28,F9,13303,15016,83,92,490,0
2024-07-10,WN,14107,12892,14,32,1372,0
2025-01-15,WN,14107,11298,-4,-13,779,0
2025-10-07,UA,12266,11193,47,38,643,0
2025-11-10,NK,12892,11193,58,71,269,0
2024-05-05,F9,11193,15016,22,23,2464,0
2024-06-25,B6,12266,11193,3,-7,1245,0
2024-07-05,AS,13930,11193,16,23,1217,0
2024-06-03,WN,14771,11298,26,44,2961,0
2024-02-05,AS,13930,13303,48,48,1044,0
2025-11-24,WN,12478,14869,7,2,2246,0
2025-05-20,WN,14771,13204,53,43,534,0
2025-03-27,DL,14771,12892,8,3,2418,0
2025-11-25,F9,14869,14771,17,26,767,0
2024-03-30,AS,14107,14869,34,24,2207,0
2025-05-17,WN,13303,12892,67,69,581,0
2025-05-28,F9,10397,14057,73,77,1525,0
2025-03-21,WN,14107,12478,34,53,1646,0
2024-06-21,AA,14057,11433,19,29,907,0
2025-06-29,AS,14771,14107,7,22,476,0
2024-10-09,DL,11298,14771,4,0,2516,0
2025-06-30,UA,12892,13204,29,26,2516,0
2025-07-20,B6,14057,12266,74,92,2693,0
2025-04-07,AS,14057,12478,23,37,1253,0
2025-12-01,UA,14771,12892,6,25,1163,0
2024-10-13,F9,11298,13930,33,23,240,0
2025-02-13,NK,12892,14771,95,109,398,0
2025-08-27,AA,12266,15016,17,22,2292,0
2025-04-12,F9,12478,13303,100,109,1988,0
2025-11-07,F9,14869,15016,21,38,1294,0
2025-04-26,AS,12266,13204,1,7,2253,0
2025-04-02,B6,11298,10397,58,51,810,0
2025-02-04,F9,14771,13204,98,101,518,0
2024-12-03,NK,11298,11193,65,70,347,0
2025-01-06,NK,10397,11298,21,18,2995,0
2025-03-19,AA,12478,14869,29,24,2701,0
2025-07-26,WN,13204,13303,60,66,2794,0
2025-03-26,WN,11298,13930,23,18,1801,0
2025-11-04,AA,14107,12478,37,41,1689,0
2025-01-17,DL,11433,13930,24,41,1036,0
2025-08-08,AS,12478,14057,5,-4,2422,0
2024-12-20,DL,14057,12266,-8,8,2262,0
2025-12-01,B6,10397,13930,43,56,241,0
2025-05-20,UA,13930,12266,41,53,2910,0
2024-01-07,B6,13204,14869,28,31,569,0
2025-06-27,AA,14057,11433,65,67,1343,0
2025-06-15,B6,11433,12266,39,51,1516,0
2024-04-28,AA,12478,11193,22,34,949,0
2024-02-26,NK,14107,11193,99,97,876,0
2024-05-14,F9,12478,11298,2,-8,2549,0
2024-11-10,F9,14869,13303,40,32,324,0
2024-12-11,B6,11433,14771,74,88,2911,0
2024-05-07,AA,13303,14107,51,70,2036,0
2025-04-02,AS,13204,14869,17,27,825,0
2024-06-04,AA,14771,15016,46,43,724,0
2025-08-14,DL,11298,13303,39,56,307,0
2025-08-11,UA,12266,12478,-2,13,428,0
2024-05-13,AS,14057,11433,-8,10,400,0
2025-08-26,AA,14869,13930,45,41,1356,0
2024-09-04,F9,14771,11298,32,31,2698,0
2025-02-10,AA,14869,15016,9,19,1115,0
2025-11-16,UA,11298,13204,4,6,1280,0
2024-12-05,AS,14771,13930,0,13,297,1
2024-04-21,WN,13204,12478,23,19,2893,0
2024-12-21,WN,13930,14869,65,55,1123,0
2024-10-20,F9,13303,11193,10,0,1752,0
2024-02-13,F9,11298,14869,50,64,535,0
2024-01-11,DL,14771,12478,42,53,1503,0
2025-10-22,AA,13303,13930,20,28,1387,0
2024-03-08,AA,14869,15016,46,52,2028,0
2025-01-11,UA,13303,11433,29,34,1980,0
2024-02-28,UA,13204,14057,29,46,1088,0
2025-03-04,NK,14057,13204,11,27,2784,0
2025-01-08,WN,11433,13204,69,70,1393,0
2025-06-27,AS,14771,15016,48,64,2332,0
2025-07-24,UA,13303,11193,60,79,2745,0
2025-09-09,NK,14771,13204,117,130,1739,0
2025-01-04,F9,13303,11298,23,27,772,0
2025-04-28,UA,15016,13204,27,22,355,0
2024-03-03,AS,13930,13303,6,24,1319,0
2025-09-13,F9,14107,13930,7,19,2738,0
2024-05-30,B6,13303,11298,7,-2,1484,0
2024-03-24,UA,11193,14771,6,5,691,0
2025-10-19,WN,13204,12892,7,-1,1020,0
2025-10-23,AS,11298,12478,27,35,1223,0
2025-11-24,AS,11193,15016,-9,-5,1829,0
2025-09-23,UA,13930,12478,31,32,265,0
2025-11-04,F9,14057,13930,25,37,1518,0
2025-03-25,DL,14771,13204,39,40,1998,0
2025-01-23,UA,14107,15016,13,22,2866,0
2025-01-18,AS,11298,14107,47,40,634,0
2024-07-12,AS,12478,12266,43,54,1657,0
2024-10-11,NK,12478,13204,7,22,321,1
2025-11-20,B6,11298,15016,68,70,1374,0
2024-11-05,AS,13303,15016,22,34,2401,0
2024-11-16,AA,11298,14107,7,12,2928,0
2025-08-19,DL,11298,12478,14,23,2801,0
2025-09-03,UA,14107,12892,60,69,2969,0
2025-08-06,AA,13303,14057,-10,7,2080,0
2024-12-16,B6,10397,12266,61,62,1074,0
2024-03-13,AS,14869,14107,19,39,1121,0
2025-02-21,B6,14869,12478,-6,10,1439,0
2024-12-17,WN,14869,12892,69,77,798,0
2024-12-14,AA,13303,12266,0,13,804,0
2024-01-23,DL,11298,12892,30,33,2741,0
2024-12-26,AA,15016,12478,14,24,2104,1
2025-10-14,F9,14107,14057,76,79,2193,0
2024-06-08,AS,13303,14771,18,35,1393,0
2025-09-16,UA,14057,13204,48,41,213,0
2025-05-16,B6,14057,10397,4,-4,1587,0
2024-04-30,AA,12266,15016,1,7,469,0
2024-05-19,AA,12892,14771,15,25,2495,0
2024-04-27,WN,14771,15016,-1,4,1205,0
2024-04-26,AS,12266,11433,0,1,558,0
2025-03-13,F9,14107,11298,24,20,2354,0
2025-04-18,B6,14057,12478,-1,0,203,0
2024-08-22,WN,13204,15016,2,15,2482,0
2025-09-15,AA,15016,14107,8,26,628,0
2024-06-15,F9,11433,13303,98,93,2012,0
2024-09-01,B6,14107,11298,32,36,1415,0
2025-01-14,NK,10397,14107,92,95,2642,0
2025-11-25,AS,14057,14107,-2,-5,2585,0
2024-04-28,F9,15016,14057,89,101,485,0
2025-05-28,F9,13204,14107,29,24,2963,0
2024-03-10,B6,11433,15016,42,41,1866,0
2025-04-15,UA,11433,11193,11,12,1979,0
2025-03-29,NK,11298,11193,13,33,2445,0
2024-04-16,AA,10397,15016,-8,-6,2077,1
2024-02-06,AS,14057,12478,23,25,2056,0
2024-03-24,WN,12478,13303,40,43,2987,0
2025-05-13,NK,14869,14057,115,128,1927,1
2024-10-16,AA,11298,10397,39,56,870,0
2024-12-08,UA,14869,12892,16,20,1851,0
2025-05-08,F9,11433,14107,9,18,2037,0
2024-11-15,B6,13204,10397,68,65,2277,0
2024-11-17,NK,13303,12266,55,46,2264,0
2024-06-04,AA,11433,11298,5,15,1024,0
2025-09-23,DL,11193,11298,22,40,1944,0
2024-02-16,AA,12266,13204,34,29,1594,0
2024-05-17,DL,14107,11193,9,10,1672,0
2024-06-10,WN,13303,14869,49,69,2380,0
2025-10-24,UA,14771,14057,27,45,779,0
2025-04-09,F9,10397,12266,40,42,2540,0
2025-03-08,NK,14869,14057,112,127,2810,0
2025-05-05,WN,13930,11298,71,74,1141,0
2025-01-22,WN,14107,14869,18,27,2672,0
2024-04-23,NK,11193,12892,55,64,1853,0
2025-03-22,AS,14771,14057,37,56,1592,0
2024-04-11,AA,14869,14057,-8,-14,2653,0
2024-01-02,B6,13930,14107,22,22,1584,0
2025-02-21,WN,14771,13930,10,22,1078,1
2025-05-04,NK,12892,13930,62,76,765,0
2024-01-20,F9,11193,14057,35,50,213,0
2025-07-31,DL,13930,14771,9,8,1105,0
2025-02-25,AS,14869,11433,22,30,1962,0
2024-07-15,B6,12478,12266,17,29,1283,0
2024-08-02,AS,14869,11298,24,31,314,0
2025-07-15,NK,13204,14107,74,89,2381,0
2024-08-20,DL,13930,13204,28,45,1000,0
2024-03-13,AA,15016,11433,31,48,1239,0
2025-05-04,UA,11433,12892,-3,1,1482,0
2025-05-13,DL,13303,15016,9,26,2255,0
2025-03-25,WN,11433,10397,33,40,2461,0
2025-04-04,WN,13930,12266,47,47,488,0
2024-10-23,DL,14057,12266,22,17,2971,0
2025-04-15,B6,14869,13930,8,11,1684,0
2024-05-04,WN,14771,10397,71,90,1487,0
2024-01-19,WN,12892,11433,20,35,398,0
2024-04-13,DL,11193,13204,25,45,1426,0
2025-07-03,DL,11433,12892,10,16,2774,0
2024-05-24,AA,14057,13930,41,44,2692,0
2024-01-12,F9,11433,10397,-4,7,1129,0
2024-01-04,UA,13930,14057,20,27,2088,0
2025-11-07,AS,13930,11298,15,14,2002,0
2024-05-05,F9,14869,12478,1,7,2179,0
2024-07-05,NK,14869,14771,79,90,1482,0
2025-08-19,B6,14107,13930,29,25,374,0
2025-09-11,NK,10397,14057,81,85,1951,0
2024-03-08,AS,13303,11433,37,37,2714,0
2025-03-31,AA,13303,14057,13,32,2360,0
2025-10-30,AA,15016,12892,64,71,2303,0
2025-11-06,UA,10397,12478,-5,-2,343,0
2024-01-31,DL,14869,13303,23,18,1727,0
2025-01-28,AA,12478,12266,34,33,2406,0
2025-05-09,NK,10397,14869,88,107,2078,0
2024-11-25,AS,14107,13204,35,52,1724,0
2024-10-15,AS,15016,12478,3,22,808,0
2024-08-26,AS,14869,12892,43,61,1125,0
2025-03-29,F9,11298,12478,66,86,2881,0
2025-06-29,NK,13204,13303,98,112,1080,0
2025-01-06,AS,15016,12266,15,12,902,0
2024-05-25,NK,10397,15016,63,59,1431,0
2024-10-22,UA,12478,10397,11,24,973,0
2025-03-21,UA,14771,12266,43,47,2676,0
2024-10-15,UA,14771,15016,-2,16,441,0
2024-09-01,NK,12478,12892,64,82,2151,0
2025-09-14,NK,11298,12266,85,83,2299,0
2025-09-22,UA,11298,15016,11,25,492,0
2025-10-10,UA,13930,14869,-5,2,481,0
2025-07-02,AS,14107,14057,50,43,1760,0
2024-11-11,NK,13930,14107,69,77,1471,0
2024-08-12,F9,14771,11193,3,18,1225,0
2025-05-09,B6,14869,14771,54,74,2889,0
2024-04-25,UA,13930,14107,31,42,625,0
2025-04-26,B6,14869,14057,0,-8,590,0
2024-05-03,NK,14869,14107,63,62,533,0
2024-09-02,UA,10397,12266,-10,-3,951,0
2025-08-28,F9,15016,13930,79,73,2240,0
2025-08-05,NK,13303,14869,50,69,506,0
2025-05-14,F9,14771,14057,9,28,1529,0
2025-09-03,AA,11433,11298,30,38,2725,0
2025-01-04,WN,14771,15016,42,61,1346,0
2024-05-12,AS,10397,13930,31,41,530,0
2024-11-16,UA,13204,12266,-3,-2,1968,0
2025-07-20,B6,14771,15016,64,73,580,0
2025-09-07,AS,14869,15016,40,46,1596,0
2024-06-18,UA,15016,14107,60,77,1289,0
2024-10-21,UA,11193,14869,58,69,1474,0
2025-04-20,B6,13930,11193,43,56,598,0
2024-09-12,NK,14057,14869,30,27,1142,0
2025-06-26,F9,11433,11298,28,44,1623,0
2025-10-06,B6,14771,13303,29,23,1322,0
2025-09-05,WN,13930,14107,-5,13,987,0
2025-06-04,NK,14771,13930,94,101,292,0
2025-10-17,F9,15016,11193,80,71,1698,0
2024-06-18,AS,15016,12478,27,45,2877,0
2024-05-08,AS,14771,13303,45,39,2491,0
2024-10-05,UA,14057,14107,33,43,655,0
2024-09-16,B6,12892,13930,20,31,843,0
2024-10-28,DL,11433,14771,43,59,2662,0
2025-10-20,B6,11193,12478,68,60,1445,0
2024-10-03,UA,11433,13930,-5,-10,1086,0
2024-07-19,UA,12266,14057,-4,3,2039,0
2024-01-17,NK,13303,15016,119,119,408,0
2025-11-10,AA,15016,14771,2,4,852,0
2025-07-18,F9,15016,13930,60,66,661,0
2025-06-29,F9,14057,15016,87,102,1750,1
2025-09-05,NK,13930,13204,10,30,1722,0
2024-03-06,WN,10397,11433,24,36,400,0
2025-02-20,WN,13930,11193,16,15,437,0
2024-05-17,WN,13930,14771,73,86,2013,0
2025-03-26,F9,15016,14057,74,66,1616,0
2025-05-20,AS,15016,11193,34,24,909,0
2025-01-06,DL,11298,12266,2,8,2944,0
2025-05-12,B6,13930,14057,0,17,2052,0
2024-10-02,B6,14869,11433,7,18,2810,0
2025-11-26,B6,13930,14869,43,46,2513,0
2025-07-27,WN,11298,10397,35,32,2119,0
2024-01-18,B6,13303,12266,73,64,2993,0
2024-11-21,DL,12266,14057,21,17,2920,0
2024-05-06,AA,11298,14771,55,67,2262,1
2025-07-12,AA,14107,11433,62,53,1009,0
2025-01-14,B6,12478,10397,-4,2,1197,0
2024-03-19,WN,12266,14771,-4,5,1832,0
2025-09-01,DL,13303,12266,23,38,2673,0
2025-07-25,WN,12266,11193,-1,15,2801,0
2025-02-25,WN,11298,15016,21,32,1689,0
2024-10-27,AS,14771,14107,27,37,1980,0
2025-01-19,WN,14771,13204,23,31,298,0
2025-10-30,B6,12478,10397,9,28,683,0
2024-03-05,NK,13930,14771,85,87,2367,0
2024-01-29,UA,14107,14057,-8,4,664,0
2024-01-07,B6,12478,13204,69,80,2812,0
2024-07-18,AA,11193,12892,-8,8,2627,0
2024-01-20,B6,14057,13930,-8,10,2421,0
2025-03-06,F9,13930,12478,74,90,307,0
2024-12-16,WN,15016,12478,69,63,1260,0
2024-08-23,F9,12892,11433,-3,8,2223,0
2024-05-29,AS,15016,12892,-1,10,1185,0
2025-05-17,DL,11193,10397,-5,8,2298,0
2024-02-18,UA,13303,14771,-2,3,969,0
2025-03-30,F9,14771,10397,64,84,1660,0
2025-02-09,AA,11298,13930,-2,1,2744,0
2024-08-27,NK,11298,14771,40,48,235,0
2024-01-22,NK,11193,14869,119,112,1055,0
2024-01-01,B6,14057,12892,52,57,839,1
2025-08-24,B6,13303,12892,27,38,1869,0
2024-05-12,UA,13930,13204,36,38,1974,0
2024-05-11,DL,13303,15016,7,24,2429,0
2025-03-21,F9,12478,10397,8,4,462,0
2025-07-27,UA,13204,13930,59,56,2144,0
2024-04-07,UA,14771,15016,5,-2,1716,0
2024-12-20,DL,10397,15016,41,44,1599,0
2024-04-24,AS,14107,11433,48,48,1732,0
2025-04-20,F9,11433,12266,52,49,1156,0
2025-09-12,DL,14057,13303,4,15,2971,0
2025-04-29,UA,13930,12892,-3,12,2949,0
2024-11-22,AS,14107,12892,22,17,1887,0
2024-07-09,WN,15016,14771,51,46,2803,0
2024-02-12,DL,14771,14869,37,35,1917,0
2024-02-09,AA,14771,12266,16,26,798,0
2024-08-23,DL,12266,13204,29,48,858,0
2024-08-16,F9,11433,14771,3,-2,235,0
2024-12-08,AA,15016,12478,12,14,1232,0
2024-12-01,UA,14057,15016,51,53,1166,0
2025-04-17,UA,11433,13204,10,0,547,0
2024-08-01,AS,10397,11193,15,15,670,0
2024-05-09,DL,11298,12478,0,-4,596,0
2025-04-07,AS,14869,14057,-2,-11,1790,0
2025-05-18,DL,14107,14771,24,33,831,0
2025-11-08,UA,14057,15016,18,31,2495,0
2024-07-30,AA,12266,15016,60,74,2535,0
2025-02-09,B6,11193,12478,3,21,1714,1
2025-11-04,DL,14771,12892,15,30,1447,0
2025-07-17,NK,10397,12478,90,105,2181,0
2024-06-12,NK,11193,11298,16,11,1105,0
2024-05-10,AS,14057,15016,31,50,2888,0
2025-11-21,B6,12478,12266,53,71,398,0
2025-07-10,AS,14107,11433,33,40,1599,0
2025-02-20,DL,13930,12266,18,18,2196,0
2025-07-23,AS,13303,12892,39,48,2479,0
2024-05-08,DL,14107,12478,23,34,1814,0
2025-09-23,NK,10397,14771,4,24,230,0
2024-11-09,B6,12266,13303,68,87,2707,0
2024-10-31,AA,14869,15016,59,71,1355,0
2025-04-24,DL,14107,13930,21,30,2940,0
2025-04-07,DL,12478,11433,26,21,2713,0
2024-09-16,WN,12892,12478,37,57,782,0
2024-05-27,AA,15016,11193,48,56,1419,0
2025-04-25,B6,12892,12266,24,16,1567,0
2025-06-25,WN,14869,14057,-3,15,2983,0
2024-10-02,WN,13303,14771,44,61,1064,0
2024-02-18,UA,11298,11193,32,39,2779,0
2024-07-27,DL,12266,12478,25,24,476,0
2025-01-07,UA,14057,10397,-10,6,2957,0
2025-04-18,NK,13303,14771,72,89,1542,1
2024-04-15,WN,12478,13303,33,53,2638,0
2024-03-31,DL,11433,13303,37,54,954,0
2024-02-04,DL,12478,12892,45,57,1990,0
2024-09-02,B6,12266,14771,-8,4,1638,0
2025-11-07,NK,13303,14107,1,11,529,0
2025-03-08,AA,15016,13930,56,71,2184,0
2025-02-09,AA,13204,12266,51,56,2482,0
2024-04-25,AA,11433,13204,24,32,685,0
2025-05-13,AA,12266,13204,38,48,973,0
2024-11-07,WN,13204,11193,16,7,2152,0
2025-10-29,F9,12892,15016,31,49,2093,0
2024-05-18,WN,12266,13930,-5,9,2487,0
2025-11-05,B6,12266,14057,23,37,2447,0
2025-04-07,AA,11193,12478,10,2,1950,0
2024-06-04,AS,15016,11433,28,18,376,0
2025-09-01,AA,15016,12266,22,24,430,0
2024-09-22,AA,12266,14869,16,20,2857,0
2024-07-15,UA,14107,13930,59,56,806,0
2024-05-30,NK,14057,14107,1,-3,1853,0
2024-09-16,NK,15016,13204,-1,13,2201,0
2025-01-21,AA,13303,13204,-7,-14,1741,0
2024-04-21,UA,14057,12266,42,44,2597,0
2024-10-12,DL,11193,12892,-6,8,1155,0
2024-06-20,WN,15016,12478,63,55,378,0
2024-11-03,F9,12892,13303,31,27,2743,0
2024-02-17,AA,13930,12478,36,56,278,0
2024-05-03,F9,13930,10397,5,9,2240,0
2025-04-08,B6,15016,12266,74,86,1729,0
2025-08-24,NK,13303,15016,78,87,2167,0
2025-07-05,AS,14869,14107,7,5,2494,0
2024-01-15,UA,14057,14771,44,57,750,0
2024-11-18,F9,14869,12892,90,81,2238,0
2025-09-25,AA,14107,11193,62,82,1335,0
2024-06-24,AA,12478,10397,31,25,1275,0
2025-10-23,AA,14869,11193,16,34,2007,0
2024-01-06,AA,13204,12266,-7,3,1456,0
2025-03-09,WN,13303,15016,-1,-4,2123,0
2024-05-08,AS,12892,13930,38,38,2662,0
2025-11-07,AS,14771,12266,29,49,2252,0
2025-03-23,NK,11298,14107,81,93,2689,0
2025-08-05,UA,14869,12266,18,30,1263,1
2024-02-02,AA,13930,11433,53,64,2028,0
2024-06-13,F9,13303,14107,15,25,1568,0
2025-10-05,AS,14869,11298,6,0,2272,0
2025-01-06,WN,11298,12478,75,75,1418,0
2024-10-05,DL,11193,14869,-3,16,2943,0
2024-07-22,AS,13930,14107,2,5,1628,0
2024-01-22,AA,14869,12892,17,23,2856,0
2025-02-06,B6,13303,12478,8,17,1455,0
2025-11-13,UA,10397,11193,51,44,1249,0
2024-10-16,NK,14869,12892,29,45,1128,0
2025-01-21,B6,15016,10397,1,4,1631,0
2024-12-31,B6,15016,11193,30,40,1449,0
2024-05-26,AS,11433,14057,0,0,2826,0
2025-08-05,DL,10397,13204,22,19,444,0
2025-05-02,UA,14771,12266,50,54,1035,0
2025-10-04,NK,14771,14107,38,50,325,0
2024-02-03,UA,13204,14869,46,38,1095,0
2024-08-22,UA,13303,11193,33,35,332,0
2025-07-16,NK,14057,13303,80,87,788,0
2025-05-04,NK,12892,13204,79,89,1185,0
2025-10-26,NK,14057,13303,30,47,2691,0
2024-12-27,WN,14107,14771,74,91,1092,0
2024-05-06,DL,11193,11298,-2,14,1076,0
2024-06-20,B6,14771,13204,29,23,2067,0
2025-02-10,AS,12266,11298,-1,5,1649,0
2025-03-09,DL,12478,12892,3,21,2734,0
2025-05-23,WN,15016,13303,44,47,512,0
2024-07-23,AA,12478,13930,1,16,2895,0
2025-09-27,DL,12892,12266,14,19,2624,0
2024-01-03,AA,11433,14107,30,42,2482,0
2024-09-20,B6,14107,13303,54,61,1669,0
2025-09-26,F9,14869,14057,99,116,1796,0
2024-10-29,UA,13204,13930,38,54,717,0
2024-08-18,NK,15016,12478,35,45,2923,0
2025-04-28,UA,14057,11193,41,53,1626,0
2025-08-06,F9,13303,13930,37,57,2624,0
2025-08-21,NK,14057,14869,13,24,2217,0
2024-09-06,WN,14771,14869,78,90,602,0
2025-02-18,UA,14107,12478,13,6,529,0
2024-10-23,B6,13303,10397,40,38,2603,0
2025-06-15,NK,14869,14107,66,56,1085,0
2024-01-28,AS,11193,15016,-5,-6,2717,0
2024-12-09,B6,12478,14107,24,17,2049,0
2025-01-13,NK,12892,13930,13,27,287,0
2024-11-02,AA,13204,14771,64,59,1874,0
2024-04-15,AS,10397,14057,26,35,2531,0
2024-07-17,DL,14057,13204,22,27,496,0
2024-02-21,NK,11193,14107,20,33,2480,0
2025-03-17,F9,15016,11193,17,16,2155,0
2025-07-02,AA,11298,14869,63,70,939,0
2025-03-31,NK,11433,14057,113,121,2001,0
2025-08-23,F9,14869,15016,-2,9,484,0
2025-04-16,UA,13204,14869,37,39,1510,0
2024-03-14,F9,15016,13204,35,49,213,0
2025-04-06,F9,14057,11433,98,118,2797,0
2025-05-13,WN,14771,14057,36,53,1294,0
2025-01-10,AS,11298,10397,21,23,2184,0
2025-07-25,AA,11298,12892,47,58,1722,0
2024-07-18,AS,15016,12892,16,23,2132,0
2024-11-06,B6,12266,13204,10,1,1879,0
2025-08-26,UA,14107,14771,50,43,1833,0
2025-05-11,UA,12892,13930,55,62,1012,0
2025-06-02,WN,11193,14057,74,69,2234,0
2025-01-22,DL,11193,11298,-9,-14,1811,0
2025-10-12,UA,12478,10397,35,30,1188,0
2024-05-05,WN,13303,13930,20,10,2040,0
2024-01-05,AS,12892,10397,39,49,2808,0
2025-01-09,AA,11298,14771,51,71,2868,0
2025-10-21,B6,11298,13204,70,79,1101,0
2024-05-31,NK,11193,12478,45,54,1058,0
2025-10-01,WN,13303,15016,50,51,1370,0
2025-06-03,AS,15016,14057,25,37,1426,0
2024-11-15,NK,14057,12478,21,17,802,0
2025-09-09,NK,14771,14057,67,72,1874,0
2025-09-08,NK,12266,12478,57,48,2675,0
2024-12-20,B6,12266,11433,9,23,1726,0
2024-12-27,DL,11298,14869,-3,5,1602,0
2025-04-06,WN,13303,12892,72,87,867,0
2024-10-15,NK,12478,10397,56,70,2737,0
2025-06-28,AA,14869,14107,31,25,2177,0
2024-02-17,AS,14771,11193,39,45,2524,0
2024-07-23,DL,15016,11193,18,8,2310,0
2025-10-21,AS,13930,10397,47,46,745,0
2024-10-11,AA,14107,14771,35,49,1860,0
2024-10-30,WN,13303,13204,2,22,1596,0
2025-07-16,B6,14771,13204,35,45,1113,0
2024-08-07,F9,14869,11433,79,85,736,0
2024-10-08,UA,10397,13204,-7,-14,1851,0
2025-08-14,NK,14057,12478,75,91,1207,0
2025-01-02,DL,10397,13303,40,30,2255,0
2025-08-08,WN,11298,13204,6,-2,646,0
2024-09-14,UA,13303,11433,59,58,1315,0
2025-06-20,UA,11433,13204,46,65,862,0
2024-07-29,WN,14057,11193,32,47,1490,0
2024-07-17,WN,11298,14869,3,19,1591,0
2024-07-23,NK,13204,12478,105,113,2475,0
2024-04-02,NK,15016,13303,7,0,947,0
2024-11-30,WN,12478,11298,35,41,2657,0
2024-07-24,UA,11298,14771,50,51,902,0
2024-11-30,B6,11433,11298,62,66,1885,0
2024-02-25,UA,11433,10397,59,65,261,0
2024-10-02,UA,13930,13303,10,5,1175,0
2025-08-25,UA,14771,13930,2,19,311,0
2024-03-15,NK,15016,12892,43,35,2545,0
2025-01-05,AA,10397,13930,50,51,314,0
2024-02-21,DL,14771,11193,20,39,1466,0
